ANNOTATION TRACKER — CoSQL NBA WOZ Pairs,,,,,,,,,,,
,,,,,,,,,,,
Week Ending: Jun 28 2026,,,,,,,,,,,
Target: 120 pairs by Jul 1 | Current: ___ pairs | Pace: ___,,,,,,,,,,,
,,,,,,,,,,,
Distribution by Query Class (Target: 15+ per class):,,,,,,,,,,,
- Spatial Zone: ___ / 15,,,,,,,,,,,
- Temporal Scope: ___ / 15,,,,,,,,,,,
- Player/Entity: ___ / 15,,,,,,,,,,,
- Simple Aggregation: ___ / 15,,,,,,,,,,,
- Comparative Aggregation: ___ / 15,,,,,,,,,,,
- Multi-Turn Coreference: ___ / 15,,,,,,,,,,,
- Game/Matchup Context: ___ / 15,,,,,,,,,,,
- Shot Characteristics: ___ / 15,,,,,,,,,,,
,,,,,,,,,,,
Cohen's Kappa (State Labels): ___ (target >= 0.75),,,,,,,,,,,
Execution Pass Rate: ___ % (target >= 95%),,,,,,,,,,,
,,,,,,,,,,,
Weekly Annotator Workload:,,,,,,,,,,,
- Rosalina (SQL Expert): ___ pairs reviewed,,,,,,,,,,,
- Craig (NL User 1): ___ turns,,,,,,,,,,,
- Sean (NL User 2): ___ turns,,,,,,,,,,,
- State Auditor (rotating): ___ reviewed,,,,,,,,,,,
,,,,,,,,,,,
utterance,gold_sql,query_class,state,annotator,nl_user_1,nl_user_2,state_auditor,execution_pass,kappa_agreement,date_completed,notes
"How many shots came from the left corner?","SELECT COUNT(*) FROM shot_charts WHERE x <= -220 AND y <= 90","Spatial Zone","approved","Rosalina","Craig","Sean","Craig",TRUE,1.0,2026-06-25,"Left corner 3 zone: x <= -220 AND y <= 90."